iter	F1	Logloss
117	0.7447551692	0.513365919
118	0.7448037133	0.5133364193
119	0.7448037133	0.5132298777
120	0.7453564453	0.5131047244
121	0.7452688183	0.5130144192
122	0.7454366006	0.5129238388
123	0.7453079495	0.5127759042
124	0.7453955159	0.5126564306
125	0.745844258	0.512532471
126	0.7453005148	0.5125273159
127	0.745844258	0.5124153625
128	0.7458684933	0.5123992356
129	0.7456673279	0.5122475988
130	0.7456673279	0.5121451836
131	0.7457884961	0.5120389058
132	0.7459266872	0.5119240654
133	0.7457519581	0.5118414898
134	0.7455431188	0.5117595951
135	0.7456887571	0.5116131402
136	0.7462592071	0.5114528087
137	0.7457153231	0.5113266514
138	0.7463877832	0.5111475258
139	0.7463949282	0.5110651475
140	0.7463949282	0.5110606161
141	0.7458684466	0.5109651946
142	0.7458684466	0.5109355573
143	0.7463177251	0.5108037145
144	0.7463177251	0.5106848206
145	0.7465578045	0.5106148394
146	0.7473806079	0.5105025094
147	0.7472211202	0.5103717958
148	0.7473251608	0.5102764461
149	0.7475399889	0.5101494998
150	0.7476439169	0.5100649409
151	0.7473044749	0.5099610419
152	0.7473530837	0.5098423658
153	0.7473530837	0.5097596123
154	0.7473530837	0.5097062291
155	0.7473287785	0.509615848
156	0.7473287785	0.5095824879
157	0.7471691093	0.5094559136
158	0.7473530837	0.5093916481
159	0.7477450025	0.5092093297
160	0.7480501788	0.5091103413
161	0.7479286419	0.5090429698
162	0.7481407612	0.5089547624
163	0.7476584895	0.5088761401
164	0.7476584895	0.5087281368
165	0.7474989481	0.508610946
166	0.7474989481	0.5085336448
167	0.7477314342	0.5084678519
168	0.7474746334	0.5083709964
169	0.7474746334	0.5083033698
170	0.7474746334	0.5082089111
171	0.7473080783	0.5081496292
172	0.747325501	0.5080832328
173	0.7475133439	0.5080236441
174	0.7479503537	0.5079625314
175	0.7479260229	0.5079400944
176	0.7480032003	0.5077746579
177	0.7477705028	0.5076903798
178	0.7474090738	0.507606939
179	0.7473534779	0.5075453115
180	0.7474996231	0.5074559569
181	0.7477081932	0.5073803703
182	0.7480939324	0.5072985904
183	0.7481006329	0.5072197549
184	0.7480939324	0.5071394407
185	0.7482091174	0.5070656969
186	0.7482091174	0.5069595678
187	0.7480334676	0.5068888886
188	0.7481024682	0.5067802819
189	0.7479534479	0.5066830526
190	0.7480578924	0.5066086896
191	0.7480578924	0.5065508286
192	0.7480511625	0.5064527226
193	0.7487898941	0.5063727701
194	0.7487654954	0.5063153447
195	0.7487410982	0.5062179384
196	0.7487036183	0.5061494703
197	0.7492421507	0.5060341133
198	0.7492009633	0.5059307947
199	0.749359991	0.5058548521
200	0.7507799971	0.5057690388
201	0.7507010382	0.5056655505
202	0.750622053	0.505588762
203	0.750622053	0.505522614
204	0.750622053	0.5054903996
205	0.7505977216	0.5053894768
206	0.7505733918	0.5053274819
207	0.7505733918	0.5052498438
208	0.7505490636	0.5051675459
209	0.7507010382	0.5050403812
210	0.7505977216	0.5049406618
211	0.7505977216	0.5048832111
212	0.7504943772	0.5048095059
213	0.7507625864	0.5047195518
214	0.7507625864	0.5046047768
215	0.7508904196	0.5045210793
216	0.7509879368	0.5044204771
217	0.7509694743	0.5043319079
218	0.7514316688	0.5042178854
219	0.7516927047	0.5041096731
220	0.7516927047	0.5039884544
221	0.7520060469	0.5038871782
222	0.7523934755	0.5038053711
223	0.7524279064	0.5037171665
224	0.7523004208	0.5035831814
225	0.7523004208	0.5034862847
226	0.7519871328	0.5033783875
227	0.7520359775	0.5032999292
228	0.7520359775	0.503203642
229	0.7521392981	0.5031005599
230	0.7521581169	0.5030101964
231	0.7521581169	0.5029267519
232	0.7521148749	0.50281535
233	0.7521148749	0.5027245571
234	0.7521148749	0.502607189
235	0.7520904533	0.5025015411
236	0.7520904533	0.5024170722
237	0.7521148749	0.5023141346
238	0.7522425909	0.5021949387
239	0.7522181676	0.5021015689
240	0.7522914421	0.5019777911
241	0.7526635033	0.5018568063
242	0.7526635033	0.5017406444
243	0.7525357937	0.5016477893
244	0.752658029	0.5015381469
245	0.7528102003	0.501424259
246	0.752859112	0.501306289
247	0.7541459629	0.5011902236
248	0.7540136399	0.5010925611
249	0.7541602653	0.501000715
250	0.7541602653	0.5009256198
251	0.7541113838	0.5008286075
252	0.7541113838	0.5007300006
253	0.7541602653	0.5006644551
254	0.7541602653	0.5005737633
255	0.7542091531	0.5004922216
256	0.7543364209	0.5004143341
257	0.7542091531	0.5003180705
258	0.7544636627	0.5002304681
259	0.7545809714	0.5001333176
260	0.7545859263	0.5000490721
261	0.7545125634	0.4999891734
262	0.7546837656	0.4999101421
263	0.7545125634	0.4998037114
264	0.7546593034	0.4997010858
265	0.7549430593	0.4995894459
266	0.7555389836	0.4995247895
267	0.7556170224	0.4994539799
268	0.7556368053	0.499382033
269	0.7556368053	0.4992995879
270	0.7556368053	0.4992072646
271	0.7556903817	0.4991210637
272	0.7557928445	0.4990242777
273	0.755837143	0.4989406418
274	0.755837143	0.4988586566
275	0.7558417587	0.4987593646
276	0.7558417587	0.4986942385
277	0.7560710614	0.498611956
278	0.7562178517	0.4985086735
279	0.7562178517	0.4984332172
280	0.7563157436	0.4983666859
281	0.7563157436	0.4983139678
282	0.7564515083	0.4982456906
283	0.7565738537	0.4981474764
284	0.7566962387	0.4980619961
285	0.7567452038	0.497957818
286	0.7567696887	0.4978666651
287	0.7567452038	0.4977776766
288	0.7567941752	0.4976967709
289	0.7565806555	0.49759922
290	0.7564826686	0.4975091644
291	0.7564826686	0.4974324699
292	0.7565605842	0.4973574987
293	0.7565605842	0.4972341716
294	0.7566874579	0.4971315781
295	0.7568518488	0.497055445
296	0.7569252894	0.4969881943
297	0.7563712767	0.4969128853
298	0.7563712767	0.4968385
299	0.7563712767	0.4967610589
300	0.7564403399	0.4966735039
301	0.7564403399	0.4965829227
302	0.7564403399	0.4965198539
303	0.7563868309	0.4964578033
304	0.7564113522	0.496382499
305	0.7564113522	0.4963104749
306	0.7567679567	0.4962427375
307	0.7567924828	0.4961698237
308	0.7566943881	0.4961108515
309	0.7566943881	0.4960425626
310	0.7566943881	0.4959591976
311	0.7566943881	0.4959040943
312	0.7571776471	0.4957968816
313	0.7571776471	0.4957192608
314	0.7574026475	0.4956518802
315	0.7574762546	0.495558494
316	0.7573696842	0.4954606214
317	0.7576031198	0.4953744514
318	0.7572427316	0.4953195802
319	0.7574762546	0.495241795
320	0.7572427316	0.4951528272
321	0.7578444979	0.4950950739
322	0.7579425997	0.4950146922
323	0.7579507166	0.4949591299
324	0.7580283078	0.4949022019
325	0.7575253339	0.4948237304
326	0.7574307188	0.4947574143
327	0.7575985737	0.4946734469
328	0.7576764809	0.4946042022
329	0.7579100463	0.4945197116
330	0.7580491301	0.4944668416
331	0.7580491301	0.4944051362
332	0.7580736928	0.4943250929
333	0.7578608906	0.4942641688
334	0.7578363151	0.4941867269
335	0.7578363151	0.4941266456
336	0.7582085187	0.4940554241
337	0.7581925302	0.4940036397
338	0.7581147822	0.4939247421
339	0.758012428	0.4938484205
340	0.7579878494	0.4938005126
341	0.7580902035	0.4937495297
342	0.7580902035	0.4937004748
343	0.7582416891	0.4936472281
344	0.7581147822	0.4935822767
345	0.7579878494	0.493506025
346	0.7579878494	0.4934023697
347	0.7579878494	0.4933481026
348	0.7580370083	0.4932876354
349	0.7580370083	0.4932158919
350	0.7579878494	0.4931313927
351	0.7582171088	0.4930762532
352	0.7582416891	0.493001257
353	0.7582908544	0.4929276688
354	0.7582908544	0.4928632641
355	0.7584098505	0.4928135428
356	0.7587360396	0.4927505943
357	0.7587360396	0.4926889141
358	0.7587928532	0.492637932
359	0.7586662177	0.4925807412
360	0.7588987129	0.4925231683
361	0.7586662177	0.4924437567
362	0.7588987129	0.4923836541
363	0.7588987129	0.4923331135
364	0.7588457936	0.4922858783
365	0.759042277	0.4922360603
366	0.7592142834	0.4921739027
367	0.7588189921	0.4921115372
368	0.7588189921	0.4920241649
369	0.7588435915	0.4919641592
370	0.7588435915	0.491901335
371	0.7590725981	0.4918300349
372	0.7590972007	0.491786104
373	0.7588681925	0.4917283838
374	0.7589950117	0.4916611075
375	0.7591218049	0.4915921243
376	0.7591218049	0.4915124891
377	0.7588889773	0.4914673349
378	0.7588889773	0.491409566
379	0.7588889773	0.4913397836
380	0.7589874292	0.4912880001
381	0.7589874292	0.4912099207
382	0.7590120462	0.4911566113
383	0.7590366648	0.4911063008
384	0.7592657456	0.4910311864
385	0.7592657456	0.490981683
386	0.7594454761	0.4909227963
387	0.759430779	0.4908808007
388	0.759430779	0.4908273062
389	0.7594837365	0.4907428502
390	0.7596105956	0.4906899185
391	0.7594837365	0.4906350503
392	0.7596105956	0.490572379
393	0.7596105956	0.4905094387
394	0.7597338322	0.4904582969
395	0.7597584843	0.490390077
396	0.7597584843	0.4903438976
397	0.7596069651	0.4902803181
398	0.7596069651	0.4902129513
399	0.7596069651	0.4901451299
400	0.7596069651	0.4900890515
401	0.7596069651	0.4900422758
402	0.7596069651	0.4899824368
403	0.7596316156	0.4899195439
404	0.7595786774	0.489869807
405	0.7596809215	0.4898101626
406	0.7598077933	0.4897341456
407	0.7598077933	0.4896853086
408	0.7598077933	0.4896093441
409	0.7598077933	0.4895536267
410	0.759783138	0.4895118439
411	0.7600684764	0.4894610424
412	0.760321903	0.4894203524
413	0.7600332829	0.4893540517
414	0.7600332829	0.4893036477
415	0.7600086196	0.4892309403
416	0.7602972541	0.4891887648
417	0.7602972541	0.4891323621
418	0.7600332829	0.489073629
419	0.7600050936	0.4890362247
420	0.7604205145	0.4889685247
421	0.7604205145	0.4889041171
422	0.7603362474	0.4888366328
423	0.7603362474	0.4887718217
424	0.7603362474	0.4887234551
425	0.7606391273	0.4886863277
426	0.7609270825	0.4886156071
427	0.7609270825	0.4885627381
428	0.760874469	0.4884995746
429	0.760874469	0.4884404794
430	0.761127659	0.4883853665
431	0.7611523286	0.4883288585
432	0.761247829	0.4882754205
433	0.761247829	0.4882129554
434	0.761247829	0.4881534468
435	0.761247829	0.4880995836
436	0.761247829	0.4880614578
437	0.7614516294	0.4880098519
438	0.7615534884	0.4879596061
439	0.7613218859	0.4879053796
440	0.7615750653	0.4878476047
441	0.7618190126	0.487790221
442	0.7618190126	0.4877194883
443	0.7617665297	0.4876658652
444	0.7617665297	0.4876018926
445	0.7617665297	0.4875364552
446	0.7617665297	0.4874997314
447	0.7617170992	0.4874309545
448	0.7617170992	0.4873704419
449	0.7617912473	0.4873372762
450	0.7618159666	0.4872882139
451	0.7618159666	0.4872548024
452	0.7618159666	0.4872126851
453	0.76191788	0.4871498627
454	0.7619703291	0.4871038689
455	0.7619456131	0.4870537547
456	0.7618931608	0.4869958732
457	0.7618931608	0.48694498
458	0.7618931608	0.4868864314
459	0.76191788	0.4868459754
460	0.76191788	0.4867692045
461	0.76191788	0.4867124919
462	0.7617140257	0.4866631537
463	0.7617665297	0.4866049402
464	0.7616645887	0.4865698515
465	0.7619365715	0.4864966322
466	0.7619365715	0.4864507825
467	0.761831559	0.4864049923
468	0.7620850077	0.4863609736
469	0.7620850077	0.4863093082
470	0.7620850077	0.4862672913
471	0.7619118378	0.4861988243
472	0.7619643159	0.4861410382
473	0.7624080919	0.4860815138
474	0.7624080919	0.4860373589
475	0.7624080919	0.4859817918
476	0.7622423111	0.4859196145
477	0.7621869482	0.4858870729
478	0.7621869482	0.4858462181
479	0.7623165217	0.485792654
480	0.7624183799	0.4857381428
481	0.7624954722	0.4856845102
482	0.7624154917	0.4856472408
483	0.7617079872	0.4855963773
484	0.7617327743	0.4855493643
485	0.762221734	0.4855070711
486	0.7623267008	0.4854577644
487	0.7620483157	0.4853919755
488	0.7622523885	0.4853272877
489	0.7622494522	0.4852588879
490	0.7616057442	0.4852096613
491	0.7618628212	0.4851600624
492	0.7618597783	0.4850834849
493	0.7618597783	0.4850394389
494	0.7619123904	0.4849967236
495	0.7614507512	0.4849340001
496	0.7612460717	0.4848839122
497	0.7612460717	0.4848290776
498	0.7612212829	0.4847823177
499	0.7612148485	0.4847378828
